Customer_ID,Age,Gender,Location,Browsing_History,Purchase_History,Customer_Segment,Avg_Order_Value,Holiday,Season
C1000,28,female,chennai,"['Books', 'Fashion']","['Biography', 'Jeans']",new visitor,4806.99,no,winter
C1001,27,male,delhi,"['Books', 'Fitness', 'Fashion']","['Biography', 'Resistance Bands', 'T-shirt']",occasional shopper,795.03,yes,autumn
C1002,34,other,chennai,['Electronics'],['Smartphone'],occasional shopper,1742.45,yes,summer
C1003,23,male,bangalore,['Home Decor'],['Wall Art'],frequent buyer,2023.16,no,autumn
C1004,24,other,kolkata,"['Fashion', 'Home Decor']","['Shoes', 'Lamp']",frequent buyer,794.76,no,winter
C1005,22,other,bangalore,['Home Decor'],['Curtains'],frequent buyer,2504.65,no,winter
C1006,30,male,kolkata,['Home Decor'],['Cushions'],new visitor,2171.58,no,autumn
C1007,38,female,delhi,['Home Decor'],['Wall Art'],frequent buyer,1188.17,yes,summer
C1008,52,male,kolkata,['Home Decor'],['Lamp'],new visitor,3104.72,yes,autumn
C1009,21,male,kolkata,['Fitness'],['Resistance Bands'],occasional shopper,4551.92,yes,summer
C1010,42,female,kolkata,"['Books', 'Electronics', 'Fitness']","['Biography', 'Smartphone', 'Yoga Mat']",frequent buyer,1220.67,no,autumn
C1011,36,other,bangalore,['Fitness'],['Yoga Mat'],occasional shopper,584.82,no,spring
C1012,34,male,kolkata,"['Electronics', 'Books', 'Fitness']","['Headphones', 'Fiction', 'Yoga Mat']",frequent buyer,4418.81,no,winter
C1013,55,male,chennai,"['Books', 'Fashion']","['Non-fiction', 'Shoes']",frequent buyer,2592.63,yes,autumn
C1014,40,other,bangalore,"['Fitness', 'Electronics']","['Resistance Bands', 'Smartphone']",frequent buyer,3415.33,yes,summer
C1015,54,other,mumbai,"['Home Decor', 'Beauty', 'Electronics']","['Curtains', 'Foundation', 'Headphones']",frequent buyer,698.1,no,summer
C1016,41,other,kolkata,['Fashion'],['T-shirt'],frequent buyer,1669.59,yes,summer
C1017,44,male,delhi,"['Fitness', 'Home Decor']","['Resistance Bands', 'Lamp']",occasional shopper,4399.61,yes,summer
C1018,22,female,mumbai,"['Electronics', 'Fashion']","['Laptop', 'Shoes']",new visitor,3237.5,no,autumn
C1019,40,female,delhi,"['Books', 'Home Decor']","['Biography', 'Wall Art']",new visitor,3299.23,no,winter
C1020,52,female,delhi,"['Electronics', 'Fashion', 'Beauty']","['Laptop', 'Jeans', 'Moisturizer']",new visitor,4987.0,yes,winter
C1021,41,female,delhi,"['Electronics', 'Books', 'Beauty']","['Headphones', 'Fiction', 'Moisturizer']",occasional shopper,4724.02,yes,spring
C1022,40,male,mumbai,['Home Decor'],['Wall Art'],new visitor,3169.44,no,summer
C1023,36,male,delhi,"['Fitness', 'Books']","['Resistance Bands', 'Comics']",occasional shopper,3842.19,no,spring
C1024,19,other,bangalore,"['Books', 'Fitness']","['Biography', 'Dumbbells']",frequent buyer,1586.33,yes,winter
C1025,45,other,delhi,"['Books', 'Fitness']","['Comics', 'Yoga Mat']",frequent buyer,1839.54,yes,spring
C1026,20,male,chennai,"['Books', 'Home Decor']","['Biography', 'Curtains']",frequent buyer,3861.96,yes,winter
C1027,52,other,mumbai,"['Books', 'Electronics', 'Fitness']","['Non-fiction', 'Headphones', 'Yoga Mat']",frequent buyer,1073.47,yes,autumn
C1028,52,other,bangalore,"['Electronics', 'Fashion']","['Smartwatch', 'Jeans']",frequent buyer,3766.58,no,summer
C1029,54,female,chennai,"['Books', 'Fashion']","['Fiction', 'Shoes']",occasional shopper,1855.09,yes,spring
C1030,35,other,kolkata,"['Beauty', 'Books', 'Fashion']","['Perfume', 'Non-fiction', 'Jacket']",new visitor,1090.75,no,winter
C1031,36,female,kolkata,['Fashion'],['T-shirt'],frequent buyer,2671.88,no,winter
C1032,28,female,mumbai,"['Home Decor', 'Books', 'Fashion']","['Curtains', 'Comics', 'Shoes']",occasional shopper,2850.56,no,spring
C1033,31,male,mumbai,"['Electronics', 'Beauty']","['Smartphone', 'Moisturizer']",new visitor,1318.82,yes,summer
C1034,35,female,delhi,"['Electronics', 'Books', 'Fashion']","['Laptop', 'Biography', 'T-shirt']",new visitor,1035.54,no,autumn
C1035,60,female,bangalore,"['Home Decor', 'Electronics', 'Fitness']","['Cushions', 'Laptop', 'Resistance Bands']",new visitor,3234.16,yes,spring
C1036,27,male,bangalore,['Beauty'],['Foundation'],occasional shopper,2984.61,no,summer
C1037,53,other,chennai,"['Home Decor', 'Fitness']","['Wall Art', 'Resistance Bands']",frequent buyer,2679.8,yes,winter
C1038,44,other,chennai,"['Electronics', 'Beauty', 'Fitness']","['Smartphone', 'Moisturizer', 'Treadmill']",frequent buyer,1782.62,yes,summer
C1039,27,female,bangalore,"['Fitness', 'Fashion', 'Electronics']","['Treadmill', 'T-shirt', 'Smartwatch']",frequent buyer,1391.02,yes,autumn
C1040,56,male,chennai,"['Electronics', 'Fashion']","['Laptop', 'Jeans']",occasional shopper,2186.39,yes,summer
C1041,30,other,mumbai,['Books'],['Biography'],occasional shopper,1902.01,no,summer
C1042,54,other,bangalore,"['Fashion', 'Home Decor', 'Electronics']","['Shoes', 'Cushions', 'Smartwatch']",new visitor,4912.05,no,winter
C1043,57,female,chennai,['Home Decor'],['Curtains'],new visitor,3275.36,yes,autumn
C1044,54,other,kolkata,"['Fashion', 'Home Decor']","['Shoes', 'Wall Art']",occasional shopper,4436.31,no,summer
C1045,27,male,kolkata,"['Home Decor', 'Beauty', 'Fitness']","['Cushions', 'Moisturizer', 'Treadmill']",occasional shopper,1212.03,no,autumn
C1046,19,other,chennai,['Electronics'],['Headphones'],new visitor,831.1,yes,summer
C1047,20,female,chennai,"['Home Decor', 'Fashion', 'Beauty']","['Cushions', 'Jeans', 'Moisturizer']",frequent buyer,2569.62,no,winter
C1048,28,other,bangalore,['Fashion'],['Jeans'],frequent buyer,1553.49,yes,winter
C1049,38,other,mumbai,"['Electronics', 'Fashion']","['Headphones', 'Jacket']",new visitor,1924.44,no,winter
C1050,25,female,chennai,['Fashion'],['T-shirt'],occasional shopper,2177.47,no,spring
C1051,49,other,delhi,"['Books', 'Fitness', 'Home Decor']","['Fiction', 'Yoga Mat', 'Wall Art']",occasional shopper,3792.71,no,winter
C1052,53,female,kolkata,"['Home Decor', 'Fashion']","['Cushions', 'Jeans']",frequent buyer,2864.19,yes,autumn
C1053,50,male,delhi,"['Fitness', 'Books', 'Home Decor']","['Resistance Bands', 'Non-fiction', 'Lamp']",new visitor,3245.79,no,summer
C1054,35,female,mumbai,['Books'],['Non-fiction'],frequent buyer,3640.83,yes,summer
C1055,22,male,mumbai,"['Home Decor', 'Fitness', 'Books']","['Wall Art', 'Dumbbells', 'Non-fiction']",occasional shopper,4220.77,yes,winter
C1056,22,male,kolkata,['Fitness'],['Yoga Mat'],new visitor,3257.57,yes,autumn
C1057,23,other,mumbai,['Books'],['Comics'],occasional shopper,4741.3,no,spring
