Product_ID,Category,Subcategory,Price,Brand,Average_Rating_of_Similar_Products,Product_Rating,Customer_Review_Sentiment_Score,Holiday,Season,Geographical_Location,Similar_Product_List,Probability_of_Recommendation
P2000,fashion,jeans,1713,brand b,4.2,2.3,0.26,no,summer,Canada,"['Jeans', 'Shoes']",0.91
P2001,beauty,lipstick,1232,brand c,4.7,2.1,0.21,yes,winter,India,"['Moisturizer', 'Lipstick', 'Lipstick']",0.26
P2002,electronics,laptop,4833,brand b,3.5,2.4,0.74,yes,spring,Canada,"['Headphones', 'Headphones', 'Smartphone']",0.6
P2003,books,comics,4902,brand d,3.4,4.2,0.8,no,winter,Germany,"['Biography', 'Non-fiction', 'Comics']",0.36
P2004,home decor,cushions,856,brand c,3.2,3.3,0.08,yes,summer,USA,['Lamp'],0.37
P2005,fashion,t-shirt,1451,brand a,4.7,2.5,0.68,no,winter,Canada,"['T-shirt', 'Shoes', 'Jacket']",0.7
P2006,books,comics,217,brand c,3.9,2.6,0.64,no,summer,Germany,['Comics'],0.79
P2007,books,comics,3823,brand b,4.2,3.8,0.39,yes,summer,USA,"['Comics', 'Fiction']",0.92
P2008,books,non-fiction,3288,brand b,3.1,4.3,0.73,yes,autumn,India,"['Fiction', 'Comics']",0.17
P2009,electronics,smartphone,1195,brand a,4.2,2.7,0.64,yes,autumn,India,"['Smartphone', 'Smartwatch', 'Laptop']",0.45
P2010,books,fiction,1285,brand d,3.1,2.1,0.53,no,spring,India,"['Biography', 'Biography', 'Biography']",0.85
P2011,fitness,treadmill,2136,brand c,2.2,4.5,0.04,no,spring,Canada,"['Dumbbells', 'Dumbbells']",0.89
P2012,fashion,shoes,1559,brand c,4.1,2.8,0.89,yes,summer,UK,"['Jeans', 'T-shirt', 'Jacket']",0.26
P2013,fashion,shoes,4724,brand d,3.9,3.2,0.98,yes,summer,Canada,"['Jacket', 'Jacket']",0.14
P2014,fitness,resistance bands,2861,brand b,3.5,2.7,0.93,yes,autumn,USA,"['Dumbbells', 'Resistance Bands', 'Treadmill']",0.46
